測定局コード,測定局名称,住所,局種別,地域コード,都道府県コード,市区町村名,SO2測定有無,NO測定有無,NO2測定有無,NOX測定有無,CO測定有無,OX測定有無,NMHC測定有無,CH4測定有無,THC測定有無,SPM測定有無,PM2.5測定有無,SP測定有無,WD測定有無,WS測定有無,TEMP測定有無,HUM測定有無,問い合わせ先
11214030,春日部,春日部市谷原１－３,一般局,3,11,春日部市,◯,◯,◯,◯,×,◯,×,×,×,◯,◯,×,◯,◯,×,×,埼玉県
11214510,春日部増戸自排,春日部市増戸７２３－１,自排局,3,11,春日部市,×,◯,◯,◯,◯,×,◯,◯,◯,◯,◯,×,◯,◯,×,×,埼玉県
11215010,狭山,狭山市堀兼３６１,一般局,3,11,狭山市,×,◯,◯,◯,×,◯,×,×,×,◯,◯,×,◯,◯,×,×,埼玉県
11216010,羽生,羽生市藤井下組１１４,一般局,3,11,羽生市,◯,◯,◯,◯,×,◯,◯,◯,◯,◯,◯,×,◯,◯,×,×,埼玉県
11217010,鴻巣,鴻巣市中央１－１,一般局,3,11,鴻巣市,◯,◯,◯,◯,×,◯,◯,◯,◯,◯,◯,×,◯,◯,〇,◯,埼玉県
11217510,鴻巣天神自排,鴻巣市天神１－１－２８,自排局,3,11,鴻巣市,◯,◯,◯,◯,×,×,×,×,×,◯,◯,×,◯,◯,×,×,埼玉県
11218010,深谷,深谷市上野台５０８,一般局,3,11,深谷市,×,◯,◯,◯,×,◯,×,×,×,◯,◯,×,◯,◯,×,×,埼玉県
11218510,深谷原郷自排,深谷市原郷８０,自排局,3,11,深谷市,×,◯,◯,◯,×,×,◯,◯,◯,◯,◯,×,◯,◯,×,×,埼玉県
11219020,上尾,上尾市浅間台３－３５,一般局,3,11,上尾市,×,◯,◯,◯,×,◯,×,×,×,◯,◯,×,◯,◯,×,×,埼玉県
11221050,草加市西町,草加市西町４２５－２,一般局,3,11,草加市,◯,◯,◯,◯,◯,◯,◯,◯,◯,◯,◯,×,◯,◯,〇,◯,草加市
11221510,草加市花栗自排,草加市花栗4-15-12,自排局,3,11,草加市,◯,◯,◯,◯,×,×,×,×,×,◯,◯,×,◯,◯,×,×,草加市
11221520,草加市原町自排,草加市原町２－７－１,自排局,3,11,草加市,×,◯,◯,◯,×,×,×,×,×,◯,×,×,◯,◯,×,×,草加市
11222020,越谷市東越谷,越谷市東越谷３－１４,一般局,3,11,越谷市,◯,◯,◯,◯,×,◯,×,×,×,◯,◯,×,◯,◯,×,×,越谷市
11222030,越谷市千間台西,越谷市千間台西4-2,一般局,3,11,越谷市,×,◯,◯,◯,◯,◯,◯,◯,◯,◯,◯,×,◯,◯,×,×,越谷市
11224010,戸田,戸田市新曽1093,一般局,3,11,戸田市,×,◯,◯,◯,×,◯,◯,◯,◯,◯,◯,×,◯,◯,〇,◯,埼玉県
11224510,戸田美女木自排,戸田市美女木５－２－１６,自排局,3,11,戸田市,◯,◯,◯,◯,◯,×,◯,◯,◯,◯,◯,×,◯,◯,×,×,埼玉県
11225010,入間,入間市東町１-１６,一般局,3,11,入間市,◯,◯,◯,◯,×,◯,◯,◯,◯,◯,◯,×,◯,◯,〇,◯,埼玉県
11225510,国設入間自動車交通環境測定所,入間市高倉５－４９１,自排局,3,11,入間市,×,◯,◯,◯,◯,×,◯,◯,◯,◯,◯,×,◯,◯,〇,◯,環境省
11229010,和光,和光市諏訪３－２０,一般局,3,11,和光市,×,◯,◯,◯,×,◯,×,×,×,◯,◯,×,◯,◯,×,×,埼玉県
11229510,和光新倉自排,和光市新倉１－３１－１０,自排局,3,11,和光市,×,◯,◯,◯,×,×,×,×,×,◯,◯,×,◯,◯,×,×,埼玉県
11230070,新座,新座市本多１－９－２２,一般局,3,11,新座市,◯,◯,◯,◯,×,◯,×,×,×,◯,◯,×,◯,◯,×,×,埼玉県
11232010,久喜,久喜市江面８５,一般局,3,11,久喜市,×,◯,◯,◯,×,◯,×,×,×,◯,◯,×,◯,◯,×,×,埼玉県
11232510,久喜本町自排,久喜市本町７－９１３－１,自排局,3,11,久喜市,×,◯,◯,◯,◯,×,◯,◯,◯,◯,◯,×,◯,◯,×,×,埼玉県
11234010,八潮,八潮市中央１－２－１,一般局,3,11,八潮市,×,◯,◯,◯,×,◯,×,×,×,◯,◯,×,◯,◯,×,×,埼玉県
11235010,富士見,富士見市鶴馬１８００－１,一般局,3,11,富士見市,×,◯,◯,◯,×,◯,◯,◯,◯,◯,◯,×,◯,◯,〇,◯,埼玉県
11235510,富士見下南畑自排,富士見市下南畑2486-4,自排局,3,11,富士見市,×,◯,◯,◯,×,×,◯,◯,◯,◯,◯,×,◯,◯,×,×,埼玉県
11237020,三郷,三郷市三郷３－２－１,一般局,3,11,三郷市,◯,◯,◯,◯,×,◯,◯,◯,◯,◯,◯,×,◯,◯,×,×,埼玉県
11238010,蓮田,蓮田市蓮田５－３０,一般局,3,11,蓮田市,×,◯,◯,◯,×,◯,×,×,×,◯,◯,×,◯,◯,×,×,埼玉県
11239010,坂戸,坂戸市芦山町１１,一般局,3,11,坂戸市,◯,◯,◯,◯,×,◯,×,×,×,◯,◯,×,◯,◯,×,×,埼玉県
11240010,幸手,幸手市幸手２２６２,一般局,3,11,幸手市,◯,◯,◯,◯,×,◯,◯,◯,◯,◯,◯,×,◯,◯,〇,◯,埼玉県
11241510,鶴ヶ島自排,鶴ヶ島市太田ヶ谷６１７－１８,自排局,3,11,鶴ヶ島市,×,◯,◯,◯,◯,×,×,×,×,◯,◯,×,◯,◯,×,×,埼玉県
11326010,毛呂山,入間郡毛呂山町目白台2-31-1,一般局,3,11,入間郡毛呂山町,×,◯,◯,◯,×,◯,×,×,×,◯,◯,×,◯,◯,〇,◯,埼玉県
11329010,日高,日高市中鹿山８１,一般局,3,11,日高市,◯,◯,◯,◯,×,◯,×,×,×,◯,◯,×,◯,◯,×,×,埼玉県
11343010,小川,比企郡小川町大塚１１０５,一般局,3,11,比企郡小川町,×,◯,◯,◯,×,◯,×,×,×,◯,◯,×,◯,◯,×,×,埼玉県
11344010,東秩父,秩父郡東秩父村白石６０１-２,一般局,3,11,秩父郡東秩父村,◯,◯,◯,◯,◯,◯,◯,◯,◯,◯,◯,×,◯,◯,〇,◯,埼玉県
11346510,川島自排,比企郡川島町かわじま２－１９,自排局,3,11,比企郡川島町,×,◯,◯,◯,×,×,◯,◯,◯,◯,◯,×,◯,◯,×,×,埼玉県
11362010,皆野,秩父郡皆野町皆野1420-1,一般局,3,11,秩父郡皆野町,×,◯,◯,◯,×,◯,×,×,×,◯,◯,×,◯,◯,×,×,埼玉県
11382010,本庄児玉,本庄市児玉町児玉１３５５－１,一般局,3,11,本庄市,×,◯,◯,◯,×,◯,×,×,×,◯,◯,×,◯,◯,〇,◯,埼玉県
11403010,熊谷妻沼東,熊谷市妻沼東１－１,一般局,3,11,熊谷市,×,◯,◯,◯,×,◯,×,×,×,◯,◯,×,◯,◯,×,×,埼玉県
11408510,寄居桜沢自排,大里郡寄居町桜沢２３４－３,自排局,3,11,大里郡寄居町,×,◯,◯,◯,×,×,◯,◯,◯,◯,◯,×,◯,◯,×,×,埼玉県
11421010,環境科学国際センター,加須市上種足９１４,一般局,3,11,加須市,×,◯,◯,◯,×,◯,×,×,×,◯,◯,×,◯,◯,〇,◯,埼玉県
11442010,宮代,南埼玉郡宮代町学園台4-1,一般局,3,11,南埼玉郡宮代町,×,◯,◯,◯,×,◯,×,×,×,◯,◯,×,◯,◯,〇,◯,埼玉県
12105010,泉谷小学校,千葉市緑区おゆみ野中央４－３,一般局,3,12,千葉市緑区,×,◯,◯,◯,×,◯,◯,◯,◯,◯,×,×,◯,◯,×,×,千葉市
12201010,花見川小学校,千葉市花見川区花見川４－１,一般局,3,12,千葉市花見川区,◯,◯,◯,◯,×,◯,◯,◯,◯,◯,◯,×,◯,◯,〇,◯,千葉市
12201020,検見川小学校,千葉市花見川区検見川町３－３２２－２３,一般局,3,12,千葉市花見川区,×,◯,◯,◯,×,◯,◯,◯,◯,◯,×,×,◯,◯,×,×,千葉市
12201040,山王小学校,千葉市稲毛区山王町１２１,一般局,3,12,千葉市稲毛区,×,◯,◯,◯,×,◯,×,×,×,◯,×,×,◯,◯,〇,◯,千葉市
12201050,宮野木,千葉市稲毛区宮野木町９９６－９,一般局,3,12,千葉市稲毛区,◯,◯,◯,◯,×,◯,◯,◯,◯,◯,◯,×,◯,◯,〇,◯,千葉市
12201070,大宮小学校,千葉市若葉区大宮台７－８－１,一般局,3,12,千葉市若葉区,×,◯,◯,◯,×,◯,◯,◯,◯,◯,×,×,◯,◯,×,×,千葉市
12201090,千城台わかば小学校,千葉市若葉区千城台北１－４－１,一般局,3,12,千葉市若葉区,◯,◯,◯,◯,×,◯,×,×,×,◯,◯,×,◯,◯,×,×,千葉市
12201120,寒川小学校,千葉市中央区寒川町１－２０５,一般局,3,12,千葉市中央区,◯,◯,◯,◯,×,◯,◯,◯,◯,◯,◯,×,◯,◯,×,×,千葉市
12201160,福正寺,千葉市中央区今井１－１３－２４,一般局,3,12,千葉市中央区,◯,◯,◯,◯,×,×,×,×,×,◯,×,×,◯,◯,〇,◯,千葉市
12201180,蘇我保育所,千葉市中央区蘇我２－３－１８,一般局,3,12,千葉市中央区,◯,◯,◯,◯,×,×,×,×,×,◯,◯,×,◯,◯,×,×,千葉市
12201200,千葉市役所自排,千葉市中央区千葉港１－１,自排局,3,12,千葉市中央区,×,◯,◯,◯,◯,×,◯,◯,◯,◯,×,×,◯,◯,〇,◯,千葉市
12201250,都公園,千葉市中央区都町２－１４,一般局,3,12,千葉市中央区,◯,◯,◯,◯,×,◯,◯,◯,◯,◯,×,×,◯,◯,×,×,千葉市
12201260,土気,千葉市緑区大椎町１２５１－３１６,一般局,3,12,千葉市緑区,◯,◯,◯,◯,×,◯,◯,◯,◯,◯,◯,×,◯,◯,×,×,千葉市
12201300,千草自排,千葉市稲毛区千草台２－１３５９－１,自排局,3,12,千葉市稲毛区,×,◯,◯,◯,◯,×,◯,◯,◯,◯,◯,×,×,×,×,×,千葉市
12201320,真砂公園,千葉市美浜区真砂１－１１,一般局,3,12,千葉市美浜区,◯,◯,◯,◯,×,◯,×,×,×,◯,◯,×,◯,◯,×,×,千葉市
12201520,葭川自排,千葉市中央区中央２－１－１,自排局,3,12,千葉市中央区,×,◯,◯,◯,×,×,◯,◯,◯,◯,×,×,×,×,×,×,千葉市
12201540,宮野木自排,千葉市花見川区宮野木台４－５２１－１,自排局,3,12,千葉市花見川区,×,◯,◯,◯,×,×,◯,◯,◯,◯,×,×,◯,◯,×,×,千葉市
12201570,真砂自排,千葉市美浜区真砂５－１,自排局,3,12,千葉市美浜区,×,◯,◯,◯,◯,×,◯,◯,◯,◯,◯,×,◯,◯,×,×,千葉市
12202090,銚子栄,銚子市栄町２－２－１,一般局,3,12,銚子市,◯,◯,◯,◯,×,◯,×,×,×,◯,◯,×,◯,◯,〇,◯,千葉県
12203040,市川二俣,市川市二俣６７８,一般局,3,12,市川市,×,◯,◯,◯,×,×,×,×,×,◯,×,×,◯,◯,×,×,市川市
12203080,市川大野,市川市大野２－１８７７,一般局,3,12,市川市,◯,◯,◯,◯,×,◯,×,×,×,◯,◯,×,◯,◯,×,×,市川市
12203110,市川本八幡局,市川市八幡３－２４－１,一般局,3,12,市川市,◯,◯,◯,◯,×,◯,×,×,×,◯,◯,×,◯,◯,〇,◯,市川市
12203120,市川行徳駅前,市川市湊新田2-4,一般局,3,12,市川市,◯,◯,◯,◯,×,◯,◯,◯,◯,◯,×,×,◯,◯,×,×,市川市
12203510,市川市市川（車）,市川市市川２－３３－６,自排局,3,12,市川市,×,◯,◯,◯,◯,×,◯,◯,◯,◯,×,×,×,×,×,×,市川市
12203520,市川行徳（車）,市川市末広１－１－４８,自排局,3,12,市川市,×,◯,◯,◯,◯,×,×,×,×,◯,◯,×,×,×,×,×,市川市
12203550,市川稲荷木（車）, 市川市稲荷木２丁目４番  稲荷木２丁目公園内 ,自排局,3,12,市川市,×,◯,◯,◯,◯,×,×,×,×,◯,◯,×,×,×,×,×,市川市
12204040,船橋丸山,船橋市丸山５－２５－１,一般局,3,12,船橋市,×,◯,◯,◯,×,◯,×,×,×,◯,×,×,◯,◯,×,×,船橋市
12204050,船橋高根,船橋市高根町２８９５,一般局,3,12,船橋市,×,◯,◯,◯,×,◯,×,×,×,◯,×,×,◯,◯,×,×,船橋市
12204060,船橋高根台,船橋市高根台５－２－１,一般局,3,12,船橋市,◯,◯,◯,◯,×,◯,◯,◯,◯,◯,◯,×,◯,◯,×,×,船橋市
12204070,船橋前原,船橋市前原西２－２８－１,一般局,3,12,船橋市,×,◯,◯,◯,×,◯,×,×,×,◯,×,×,◯,◯,×,×,船橋市
12204100,船橋豊富,船橋市金堀町５２２－１,一般局,3,12,船橋市,◯,◯,◯,◯,×,◯,×,×,×,◯,×,×,◯,◯,×,×,船橋市
12204110,船橋印内,船橋市印内１－２－１,一般局,3,12,船橋市,◯,◯,◯,◯,×,◯,◯,◯,◯,◯,◯,×,◯,◯,〇,◯,船橋市
12204140,船橋若松,船橋市若松３－２－３,一般局,3,12,船橋市,×,◯,◯,◯,×,◯,◯,◯,◯,◯,×,×,◯,◯,〇,◯,船橋市
12204150,船橋南本町,船橋市南本町１０－１,一般局,3,12,船橋市,×,◯,◯,◯,×,◯,×,×,×,◯,×,×,◯,◯,×,×,船橋市
12204520,船橋海神（車）,船橋市海神町３－３９９－１,自排局,3,12,船橋市,×,◯,◯,◯,◯,×,◯,◯,◯,◯,×,×,◯,◯,×,×,船橋市
12204530,船橋日の出（車）,船橋市日の出１－１６,自排局,3,12,船橋市,×,◯,◯,◯,◯,×,◯,◯,◯,◯,◯,×,◯,◯,〇,◯,船橋市
12205030,館山亀ケ原,館山市亀ケ原７５４,一般局,3,12,館山市,◯,◯,◯,◯,×,◯,×,×,×,◯,◯,×,◯,◯,〇,◯,千葉県
12206010,木更津中央,木更津市中央１－１０－１,一般局,3,12,木更津市,◯,◯,◯,◯,×,◯,◯,◯,◯,◯,◯,×,◯,◯,〇,◯,千葉県
12206030,木更津畔戸,木更津市畔戸１５２５番地,一般局,3,12,木更津市,◯,◯,◯,◯,×,×,×,×,×,◯,×,×,◯,◯,×,×,千葉県
12206070,木更津清見台,木更津市清見台南１－１５,一般局,3,12,木更津市,◯,◯,◯,◯,×,◯,×,×,×,◯,×,×,◯,◯,×,×,千葉県
12206080,木更津畑沢,木更津市畑沢南２－１６－１,一般局,3,12,木更津市,×,◯,◯,◯,×,◯,×,×,×,◯,×,×,◯,◯,×,×,千葉県
12206140,木更津真里谷,木更津市真里谷５２４－３,一般局,3,12,木更津市,×,◯,◯,◯,×,◯,×,×,×,◯,×,×,◯,◯,×,×,千葉県
12206520,木更津請西（車）,木更津市請西２－１－２４,自排局,3,12,木更津市,×,◯,◯,◯,×,×,×,×,×,◯,×,×,◯,◯,×,×,千葉県
12206530,木更津牛袋（車）,木更津市牛袋５９１－２,自排局,3,12,木更津市,×,◯,◯,◯,×,×,×,×,×,◯,◯,×,◯,◯,×,×,千葉県
12207010,松戸根本,松戸市根本３８７－５,一般局,3,12,松戸市,◯,◯,◯,◯,×,◯,◯,◯,◯,◯,◯,×,◯,◯,〇,◯,松戸市
12207020,松戸五香,松戸市五香西２－４０－１０,一般局,3,12,松戸市,◯,◯,◯,◯,×,◯,◯,◯,◯,◯,×,×,◯,◯,×,×,松戸市
12207030,松戸二ツ木,松戸市二ツ木４０－１,一般局,3,12,松戸市,◯,◯,◯,◯,×,◯,×,×,×,◯,×,×,◯,◯,×,×,松戸市
12207520,松戸上本郷（車）,松戸市上本郷２２３４－５,自排局,3,12,松戸市,×,◯,◯,◯,◯,×,×,×,×,◯,◯,×,◯,◯,×,×,松戸市
12208010,野田市野田,野田市野田７９４－１,一般局,3,12,野田市,◯,◯,◯,◯,×,◯,◯,◯,◯,◯,◯,×,◯,◯,〇,◯,千葉県
12208510,国設野田自動車交通環境測定,野田市宮崎新田１３７－１,自排局,3,12,野田市,×,◯,◯,◯,◯,×,◯,◯,◯,◯,◯,×,◯,◯,〇,◯,環境省
12209010,香取大倉,香取市大倉２１４７－３,一般局,3,12,香取市,×,×,×,×,×,◯,×,×,×,◯,×,×,◯,◯,〇,◯,千葉県
12210010,茂原高師,茂原市高師１２４７－６,一般局,3,12,茂原市,×,◯,◯,◯,×,◯,×,×,×,◯,◯,×,◯,◯,〇,◯,千葉県
12211040,成田加良部,成田市加良部５－１１,一般局,3,12,成田市,◯,◯,◯,◯,×,◯,◯,◯,◯,◯,◯,×,◯,◯,〇,◯,千葉県
12211510,成田花崎（車）,成田市花崎町７８９－４,自排局,3,12,成田市,×,◯,◯,◯,◯,×,×,×,×,◯,◯,×,◯,◯,×,×,千葉県
12212040,佐倉江原新田,佐倉市江原新田５４－１,一般局,3,12,佐倉市,◯,◯,◯,◯,×,◯,◯,◯,◯,◯,◯,×,◯,◯,〇,◯,千葉県
12212520,佐倉山王（車）,佐倉市山王２－３７－４,自排局,3,12,佐倉市,×,◯,◯,◯,◯,×,×,×,×,◯,×,×,◯,◯,×,×,千葉県
12213010,東金堀上,東金市堀上１１１,一般局,3,12,東金市,×,◯,◯,◯,×,◯,×,×,×,◯,◯,×,◯,◯,〇,◯,千葉県
12214010,匝瑳椿,匝瑳市椿９６９－１,一般局,3,12,匝瑳市,×,◯,◯,◯,×,◯,×,×,×,◯,◯,×,◯,◯,〇,◯,千葉県
12216010,習志野鷺沼,習志野市鷺沼台１－５９１－１,一般局,3,12,習志野市,◯,◯,◯,◯,×,◯,◯,◯,◯,◯,◯,×,◯,◯,〇,◯,千葉県
12217020,柏永楽台,柏市永楽台２－８－１,一般局,3,12,柏市,◯,◯,◯,◯,×,◯,×,×,×,◯,◯,×,◯,◯,〇,◯,柏市
12217030,柏大室,柏市大室１２５６,一般局,3,12,柏市,◯,◯,◯,◯,×,◯,×,×,×,◯,◯,×,◯,◯,〇,◯,柏市
12217510,柏旭（車）,柏市旭町３－８３１－３５,自排局,3,12,柏市,×,◯,◯,◯,◯,×,◯,◯,◯,×,×,×,×,×,×,×,柏市
12217520,柏西原（車）,柏市西原２－１１－２５,自排局,3,12,柏市,×,◯,◯,◯,×,×,×,×,×,◯,×,×,×,×,×,×,柏市
12218010,勝浦小羽戸,勝浦市小羽戸５８－２,一般局,3,12,勝浦市,×,◯,◯,◯,×,◯,◯,◯,◯,◯,◯,×,◯,◯,〇,◯,千葉県
12219010,市原八幡,市原市八幡８３１－２,一般局,3,12,市原市,◯,◯,◯,◯,×,◯,×,×,×,◯,◯,×,◯,◯,×,×,市原市
12219030,市原五井,市原市五井５５００－１,一般局,3,12,市原市,◯,◯,◯,◯,×,◯,×,×,×,◯,◯,×,◯,◯,×,×,市原市
12219060,市原姉崎,市原市姉崎１８５０,一般局,3,12,市原市,◯,◯,◯,◯,×,◯,◯,◯,◯,◯,◯,×,◯,◯,×,×,市原市
12219090,市原廿五里,市原市廿五里５５８,一般局,3,12,市原市,◯,◯,◯,◯,×,◯,×,×,×,◯,◯,×,◯,◯,×,×,市原市
12219110,市原潤井戸,市原市潤井戸２２９９－１４,一般局,3,12,市原市,×,◯,◯,◯,×,◯,×,×,×,◯,◯,×,◯,◯,×,×,市原市
12219120,市原辰巳台,市原市辰巳台西５－１０,一般局,3,12,市原市,◯,◯,◯,◯,×,×,×,×,×,◯,×,×,◯,◯,×,×,市原市
12219140,市原有秋,市原市有秋台西２－３,一般局,3,12,市原市,◯,◯,◯,◯,×,×,×,×,×,◯,×,×,◯,◯,×,×,市原市
12219180,市原松崎,市原市松崎８２０,一般局,3,12,市原市,×,◯,◯,◯,×,◯,×,×,×,◯,×,×,◯,◯,×,×,市原市
12219190,市原岩崎西,市原市岩崎西１－８－８,一般局,3,12,市原市,◯,◯,◯,◯,×,◯,◯,◯,◯,◯,◯,×,◯,◯,〇,◯,千葉県
12219200,市原郡本,市原市北国分寺台３－５－１,一般局,3,12,市原市,◯,◯,◯,◯,◯,◯,◯,◯,◯,◯,◯,×,◯,◯,〇,◯,市原市
12219380,市原平野,市原市平野１２３,一般局,3,12,市原市,×,◯,◯,◯,×,◯,×,×,×,◯,×,×,◯,◯,×,×,市原市
12219390,市原奉免,市原市奉免１６６－１,一般局,3,12,市原市,◯,◯,◯,◯,×,◯,×,×,×,◯,×,×,◯,◯,×,×,市原市
12219520,市原中川田（車）,市原市五井1661,自排局,3,12,市原市,◯,◯,◯,◯,◯,×,◯,◯,◯,◯,×,×,◯,◯,×,×,市原市
12220010,流山平和台,流山市平和台１－３－１４,一般局,3,12,流山市,◯,◯,◯,◯,×,◯,◯,◯,◯,◯,◯,×,×,×,〇,◯,千葉県
12221020,八千代高津,八千代市高津４２１－３,一般局,3,12,八千代市,×,◯,◯,◯,×,◯,×,×,×,◯,◯,×,◯,◯,〇,◯,千葉県
12221510,八千代村上（車）,八千代市村上３１０３,自排局,3,12,八千代市,×,◯,◯,◯,◯,×,×,×,×,◯,×,×,◯,◯,×,×,千葉県
12222010,我孫子湖北台,我孫子市湖北台４－３－１,一般局,3,12,我孫子市,×,◯,◯,◯,×,◯,×,×,×,◯,◯,×,◯,◯,〇,◯,千葉県
12224040,鎌ケ谷軽井沢,鎌ケ谷市軽井沢２０６０－３２,一般局,3,12,鎌ケ谷市,◯,◯,◯,◯,×,◯,×,×,×,◯,◯,×,◯,◯,〇,◯,千葉県
12224510,鎌ケ谷初富（車）,鎌ケ谷市初富９２４－６,自排局,3,12,鎌ケ谷市,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,千葉県
12225010,君津久保,君津市久保２－１１,一般局,3,12,君津市,◯,◯,◯,◯,×,◯,×,×,×,◯,◯,×,◯,◯,〇,◯,千葉県
12225030,君津坂田,君津市坂田５１８,一般局,3,12,君津市,◯,◯,◯,◯,×,◯,×,×,×,◯,×,×,◯,◯,×,×,千葉県
12225070,君津宮下,君津市宮下１－４－１,一般局,3,12,君津市,◯,◯,◯,◯,×,×,×,×,×,◯,×,×,◯,◯,×,×,千葉県
12225080,君津人見,君津市人見１１５４,一般局,3,12,君津市,◯,◯,◯,◯,×,◯,×,×,×,◯,×,×,◯,◯,〇,◯,千葉県
12225090,君津俵田,君津市俵田１１１０,一般局,3,12,君津市,◯,◯,◯,◯,×,◯,×,×,×,◯,◯,×,◯,◯,〇,◯,千葉県
12225120,君津糠田,君津市糠田５５,一般局,3,12,君津市,◯,◯,◯,◯,×,◯,×,×,×,◯,×,×,◯,◯,〇,◯,千葉県
12226010,富津下飯野,富津市下飯野１１３５,一般局,3,12,富津市,◯,◯,◯,◯,×,◯,◯,◯,◯,◯,◯,×,◯,◯,〇,◯,千葉県
12227510,浦安美浜（車）,浦安市美浜４－６,自排局,3,12,浦安市,×,◯,◯,◯,◯,×,×,×,×,◯,×,×,◯,◯,×,×,千葉県
12228010,四街道鹿渡,四街道市鹿渡８０９－２,一般局,3,12,四街道市,×,◯,◯,◯,×,◯,×,×,×,◯,◯,×,◯,◯,〇,◯,千葉県
12230010,八街市八街,八街市八街ほ２０８－１０６,一般局,3,12,八街市,×,◯,◯,◯,×,◯,◯,◯,◯,◯,◯,×,◯,◯,〇,◯,千葉県
12301020,浦安猫実,浦安市猫実１－２－７,一般局,3,12,浦安市,◯,◯,◯,◯,×,◯,◯,◯,◯,◯,◯,×,◯,◯,〇,◯,千葉県
12303010,野田桐ケ作,野田市桐ケ作４１５－１,一般局,3,12,野田市,×,◯,◯,◯,×,◯,×,×,×,◯,◯,×,◯,◯,〇,◯,千葉県
12305510,柏大津ケ丘（車）,柏市大津ヶ丘２－１,自排局,3,12,柏市,×,◯,◯,◯,◯,×,×,×,×,◯,◯,×,◯,◯,×,×,柏市
12326010,白井七次台,白井市七次台３－２２,一般局,3,12,白井市,×,◯,◯,◯,×,◯,×,×,×,◯,×,×,◯,◯,×,×,千葉県
12327010,印西高花,印西市高花１－３,一般局,3,12,印西市,◯,◯,◯,◯,×,◯,◯,◯,◯,◯,◯,×,◯,◯,〇,◯,千葉県
12329010,栄安食台,印旛郡栄町安食台４－３４－１,一般局,3,12,印旛郡栄町,×,◯,◯,◯,×,◯,◯,◯,◯,◯,◯,×,◯,◯,〇,◯,千葉県
12343010,成田奈土,成田市奈土1044,一般局,3,12,成田市,×,◯,◯,◯,×,◯,×,×,×,×,×,×,◯,◯,×,×,千葉県
12344020,香取羽根川,香取市羽根川５５－５,一般局,3,12,香取市,◯,◯,◯,◯,×,◯,◯,◯,◯,◯,◯,×,◯,◯,〇,◯,千葉県
12345020,香取府馬,香取市府馬３４２９－４,一般局,3,12,香取市,◯,×,×,×,×,◯,×,×,×,◯,×,×,◯,◯,〇,◯,千葉県
12408010,横芝光横芝,山武郡横芝光町横芝１８００,一般局,3,12,山武郡横芝光町,×,◯,◯,◯,×,◯,◯,◯,◯,◯,◯,×,◯,◯,〇,◯,千葉県
12409010,芝山山田,山武郡芝山町山田１０６５,一般局,3,12,山武郡芝山町,×,×,×,×,×,◯,×,×,×,◯,×,×,◯,◯,〇,◯,千葉県
12421020,一宮東浪見,長生郡一宮町東浪見１５１６－２,一般局,3,12,長生郡一宮町,◯,◯,◯,◯,×,◯,×,×,×,◯,◯,×,◯,◯,〇,◯,千葉県
12463010,鋸南下佐久間,安房郡鋸南町下佐久間３４５８,一般局,3,12,安房郡鋸南町,×,◯,◯,◯,×,◯,◯,◯,◯,◯,×,×,◯,◯,〇,◯,千葉県
12481010,袖ケ浦坂戸市場,袖ケ浦市坂戸市場４４,一般局,3,12,袖ケ浦市,◯,◯,◯,◯,×,◯,×,×,×,◯,×,×,◯,◯,〇,◯,千葉県
12481040,袖ケ浦代宿,袖ケ浦市代宿３０５,一般局,3,12,袖ケ浦市,◯,◯,◯,◯,×,◯,◯,◯,◯,◯,×,×,◯,◯,〇,◯,千葉県
12481050,袖ケ浦三ッ作,袖ケ浦市三ッ作７４１,一般局,3,12,袖ケ浦市,◯,◯,◯,◯,×,◯,×,×,×,◯,×,×,◯,◯,×,×,千葉県
12481060,袖ケ浦蔵波,袖ケ浦市蔵波９９５ー７,一般局,3,12,袖ケ浦市,×,◯,◯,◯,×,◯,×,×,×,◯,×,×,◯,◯,×,×,千葉県
12481070,袖ケ浦吉野田,袖ケ浦市吉野田１９８,一般局,3,12,袖ケ浦市,×,◯,◯,◯,×,◯,×,×,×,◯,×,×,◯,◯,×,×,千葉県
12481080,袖ケ浦横田,袖ケ浦市横田５００,一般局,3,12,袖ケ浦市,◯,◯,◯,◯,×,◯,◯,◯,◯,◯,×,×,◯,◯,〇,◯,千葉県
12481090,袖ケ浦川原井,袖ケ浦市川原井１８７１－１１,一般局,3,12,袖ケ浦市,×,◯,◯,◯,×,◯,×,×,×,◯,×,×,◯,◯,×,×,千葉県
12481160,袖ケ浦長浦,袖ケ浦市長浦駅前６－１－４,一般局,3,12,袖ケ浦市,◯,◯,◯,◯,×,◯,◯,◯,◯,◯,◯,×,◯,◯,×,×,千葉県
12481510,袖ケ浦福王台(車）,袖ケ浦市福王台４－１０－４,自排局,3,12,袖ケ浦市,◯,◯,◯,◯,◯,×,◯,◯,◯,◯,×,×,◯,◯,×,×,千葉県
12481520,袖ケ浦大曽根（車）,袖ケ浦市大曽根１９９０,自排局,3,12,袖ケ浦市,×,◯,◯,◯,◯,×,×,×,×,◯,◯,×,◯,◯,×,×,千葉県
13101010,千代田区神田司町,千代田区神田司町２丁目２番地,一般局,3,13,千代田区,◯,◯,◯,◯,×,◯,×,×,×,◯,◯,×,◯,◯,〇,◯,東京都
13101510,日比谷交差点,千代田区,自排局,3,13,千代田区,×,◯,◯,◯,◯,×,×,×,×,◯,◯,×,×,×,×,×,東京都
